dataset,split,label,model,accuracy,f1,mcc,auc,precision,recall,pr_auc,train_pos_ratio,test_pos_ratio,train_size,test_size
tox21,datasail_full,NR-ER-LBD,random_forest,0.958,0.0,0.0,0.659,0.0,0.0,0.073,0.046,0.042,5000,669
tox21,datasail_full,NR-ER-LBD,logistic_regression,0.951,0.057,0.052,0.549,0.143,0.036,0.079,0.046,0.042,5000,669
tox21,datasail_full,NR-PPAR-gamma,random_forest,0.989,0.0,0.0,0.664,0.0,0.0,0.036,0.033,0.011,4612,628
tox21,datasail_full,NR-PPAR-gamma,logistic_regression,0.986,0.182,0.182,0.583,0.25,0.143,0.067,0.033,0.011,4612,628
tox21,datasail_full,SR-ARE,random_forest,0.811,0.035,0.066,0.727,0.5,0.018,0.398,0.164,0.189,4206,581
tox21,datasail_full,SR-ARE,logistic_regression,0.797,0.322,0.223,0.68,0.438,0.255,0.37,0.164,0.189,4206,581
tox21,datasail_full,SR-ATAD5,random_forest,0.971,0.095,0.155,0.64,0.5,0.053,0.07,0.044,0.029,5108,665
tox21,datasail_full,SR-ATAD5,logistic_regression,0.902,0.085,0.051,0.672,0.058,0.158,0.111,0.044,0.029,5108,665
tox21,datasail_full,SR-HSE,random_forest,0.949,0.0,0.0,0.762,0.0,0.0,0.23,0.058,0.051,4690,630
tox21,datasail_full,SR-HSE,logistic_regression,0.943,0.25,0.238,0.736,0.375,0.188,0.218,0.058,0.051,4690,630
tox21,datasail_full,SR-MMP,random_forest,0.856,0.147,0.239,0.884,0.875,0.08,0.623,0.167,0.155,4108,561
tox21,datasail_full,SR-MMP,logistic_regression,0.815,0.416,0.306,0.798,0.407,0.425,0.471,0.167,0.155,4108,561
tox21,datasail_full,SR-p53,random_forest,0.949,0.0,-0.009,0.728,0.0,0.0,0.218,0.069,0.05,4896,644
tox21,datasail_full,SR-p53,logistic_regression,0.938,0.31,0.28,0.697,0.346,0.281,0.196,0.069,0.05,4896,644
tox21,datasail_scaled_random,NR-AR,random_forest,0.98,0.0,0.0,0.515,0.0,0.0,0.031,0.022,0.02,5064,768
tox21,datasail_scaled_random,NR-AR,logistic_regression,0.967,0.0,-0.016,0.448,0.0,0.0,0.022,0.022,0.02,5064,768
tox21,datasail_scaled_random,NR-AR-LBD,random_forest,0.987,0.0,-0.006,0.563,0.0,0.0,0.051,0.018,0.008,4724,706
tox21,datasail_scaled_random,NR-AR-LBD,logistic_regression,0.984,0.0,-0.008,0.817,0.0,0.0,0.06,0.018,0.008,4724,706
tox21,datasail_scaled_random,NR-AhR,random_forest,0.976,0.105,0.12,0.891,0.25,0.067,0.162,0.145,0.021,4560,719
tox21,datasail_scaled_random,NR-AhR,logistic_regression,0.939,0.083,0.061,0.69,0.061,0.133,0.059,0.145,0.021,4560,719
tox21,datasail_scaled_random,NR-Aromatase,random_forest,0.954,0.062,0.175,0.805,1.0,0.032,0.289,0.048,0.048,4078,652
tox21,datasail_scaled_random,NR-Aromatase,logistic_regression,0.952,0.061,0.118,0.68,0.5,0.032,0.119,0.048,0.048,4078,652
tox21,datasail_scaled_random,NR-ER,random_forest,0.911,0.293,0.314,0.662,0.632,0.19,0.315,0.122,0.097,4336,650
tox21,datasail_scaled_random,NR-ER,logistic_regression,0.832,0.193,0.1,0.6,0.181,0.206,0.154,0.122,0.097,4336,650
tox21,datasail_scaled_random,NR-ER-LBD,random_forest,0.965,0.324,0.351,0.827,0.6,0.222,0.313,0.043,0.037,4870,723
tox21,datasail_scaled_random,NR-ER-LBD,logistic_regression,0.95,0.217,0.196,0.676,0.263,0.185,0.154,0.043,0.037,4870,723
tox21,datasail_scaled_random,NR-PPAR-gamma,random_forest,0.973,0.0,-0.011,0.689,0.0,0.0,0.077,0.033,0.022,4555,696
tox21,datasail_scaled_random,NR-PPAR-gamma,logistic_regression,0.977,0.0,-0.006,0.707,0.0,0.0,0.052,0.033,0.022,4555,696
tox21,datasail_scaled_random,SR-ARE,random_forest,0.876,0.091,0.099,0.753,0.364,0.052,0.304,0.165,0.12,4213,643
tox21,datasail_scaled_random,SR-ARE,logistic_regression,0.784,0.329,0.22,0.696,0.262,0.442,0.239,0.165,0.12,4213,643
tox21,datasail_scaled_random,SR-ATAD5,random_forest,0.974,0.0,-0.01,0.795,0.0,0.0,0.085,0.04,0.022,4965,738
tox21,datasail_scaled_random,SR-ATAD5,logistic_regression,0.97,0.214,0.202,0.756,0.25,0.188,0.201,0.04,0.022,4965,738
tox21,datasail_scaled_random,SR-HSE,random_forest,0.947,0.1,0.223,0.615,1.0,0.053,0.206,0.06,0.056,4657,675
tox21,datasail_scaled_random,SR-HSE,logistic_regression,0.927,0.197,0.167,0.541,0.261,0.158,0.168,0.06,0.056,4657,675
tox21,datasail_scaled_random,SR-MMP,random_forest,0.904,0.311,0.381,0.851,0.875,0.189,0.515,0.17,0.114,4028,647
tox21,datasail_scaled_random,SR-MMP,logistic_regression,0.777,0.301,0.192,0.722,0.235,0.419,0.259,0.17,0.114,4028,647
tox21,datasail_scaled_random,SR-p53,random_forest,0.973,0.0,0.0,0.746,0.0,0.0,0.107,0.058,0.027,4753,694
tox21,datasail_scaled_random,SR-p53,logistic_regression,0.952,0.233,0.21,0.734,0.208,0.263,0.143,0.058,0.027,4753,694
tox21,datasail_scaled_stratified,NR-AR,random_forest,0.977,0.0,0.0,0.576,0.0,0.0,0.037,0.053,0.023,5040,740
tox21,datasail_scaled_stratified,NR-AR,logistic_regression,0.959,0.0,-0.021,0.427,0.0,0.0,0.023,0.053,0.023,5040,740
tox21,datasail_scaled_stratified,NR-AR-LBD,random_forest,0.985,0.0,0.0,0.639,0.0,0.0,0.216,0.045,0.015,4633,718
tox21,datasail_scaled_stratified,NR-AR-LBD,logistic_regression,0.979,0.0,-0.009,0.621,0.0,0.0,0.055,0.045,0.015,4633,718
tox21,datasail_scaled_stratified,NR-AhR,random_forest,0.938,0.0,0.0,0.88,0.0,0.0,0.362,0.148,0.062,4473,709
