dataset,n_samples,runtime_seconds,train_pct,val_pct,test_pct,train_diff,val_diff,test_diff
bace,1513,2.58011245727539,67.74619960343688,21.017845340383342,11.235955056179776,-2.253800396563122,1.0178453403833458,1.235955056179776
bbbp,2039,2.629779815673828,69.78911230995585,20.05885237861697,10.15203531142717,-0.2108876900441458,0.0588523786169687,0.1520353114271699
tox21,7823,7.272157907485962,69.51297456218842,20.28633516553752,10.200690272274064,-0.4870254378115817,0.286335165537519,0.2006902722740644
hiv,41120,214.74875140190125,70.35019455252919,19.64250972762646,10.007295719844358,0.35019455252918874,-0.35749027237353914,0.007295719844357507
