dataset,split,label,model,accuracy,f1,mcc,auc
tox21,datasail_scaled_random,SR-ATAD5,random_forest,0.974,0.0,-0.01,0.795
tox21,datasail_scaled_random,SR-ATAD5,logistic_regression,0.97,0.214,0.202,0.756
tox21,datasail_scaled_random,SR-HSE,random_forest,0.947,0.1,0.223,0.615
tox21,datasail_scaled_random,SR-HSE,logistic_regression,0.927,0.197,0.167,0.541
tox21,datasail_scaled_random,SR-MMP,random_forest,0.904,0.311,0.381,0.851
tox21,datasail_scaled_random,SR-MMP,logistic_regression,0.777,0.301,0.192,0.722
tox21,datasail_scaled_random,SR-p53,random_forest,0.973,0.0,0.0,0.746
tox21,datasail_scaled_random,SR-p53,logistic_regression,0.952,0.233,0.21,0.734
tox21,datasail_scaled_stratified,NR-AR,random_forest,0.977,0.0,0.0,0.576
tox21,datasail_scaled_stratified,NR-AR,logistic_regression,0.959,0.0,-0.021,0.427
tox21,datasail_scaled_stratified,NR-AR-LBD,random_forest,0.985,0.0,0.0,0.639
tox21,datasail_scaled_stratified,NR-AR-LBD,logistic_regression,0.979,0.0,-0.009,0.621
tox21,datasail_scaled_stratified,NR-AhR,random_forest,0.938,0.0,0.0,0.88
tox21,datasail_scaled_stratified,NR-AhR,logistic_regression,0.913,0.225,0.18,0.617
tox21,datasail_scaled_stratified,NR-Aromatase,random_forest,0.983,0.0,0.0,0.687
tox21,datasail_scaled_stratified,NR-Aromatase,logistic_regression,0.973,0.0,-0.013,0.523
tox21,datasail_scaled_stratified,NR-ER,random_forest,0.927,0.04,0.138,0.538
tox21,datasail_scaled_stratified,NR-ER,logistic_regression,0.825,0.108,0.018,0.455
tox21,datasail_scaled_stratified,NR-ER-LBD,random_forest,0.974,0.095,0.221,0.623
tox21,datasail_scaled_stratified,NR-ER-LBD,logistic_regression,0.953,0.15,0.126,0.606
tox21,datasail_scaled_stratified,NR-PPAR-gamma,random_forest,0.973,0.0,0.0,0.77
tox21,datasail_scaled_stratified,NR-PPAR-gamma,logistic_regression,0.969,0.214,0.215,0.713
tox21,datasail_scaled_stratified,SR-ARE,random_forest,0.899,0.217,0.295,0.69
tox21,datasail_scaled_stratified,SR-ARE,logistic_regression,0.769,0.212,0.088,0.565
tox21,datasail_scaled_stratified,SR-ATAD5,random_forest,0.968,0.0,0.0,0.823
tox21,datasail_scaled_stratified,SR-ATAD5,logistic_regression,0.953,0.34,0.317,0.721
tox21,datasail_scaled_stratified,SR-HSE,random_forest,0.959,0.0,0.0,0.748
tox21,datasail_scaled_stratified,SR-HSE,logistic_regression,0.912,0.189,0.151,0.654
tox21,datasail_scaled_stratified,SR-MMP,random_forest,0.96,0.419,0.483,0.847
tox21,datasail_scaled_stratified,SR-MMP,logistic_regression,0.897,0.333,0.301,0.793
tox21,datasail_scaled_stratified,SR-p53,random_forest,0.964,0.0,0.0,0.837
tox21,datasail_scaled_stratified,SR-p53,logistic_regression,0.936,0.148,0.115,0.676
hiv,random,HIV_active,random_forest,0.972,0.486,0.51,0.835
hiv,random,HIV_active,logistic_regression,0.951,0.371,0.346,0.786
hiv,datasail_scaled_random,HIV_active,random_forest,0.946,0.344,0.43,0.845
hiv,datasail_scaled_random,HIV_active,logistic_regression,0.885,0.247,0.188,0.681
hiv,datasail_scaled_stratified,HIV_active,random_forest,0.938,0.167,0.237,0.869
hiv,datasail_scaled_stratified,HIV_active,logistic_regression,0.917,0.331,0.287,0.739
